step,phase,n,kernel,dist_ls0,dist_ls1,pos_ls0,pos_ls1,noise_var,LML,train_rmse,train_mae,train_r2
47,active,48,"SliceKernel(base=RBF(length_scale=[1.11, 0.289]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.14, 0.746]), idx=[2, 3]) + WhiteKernel(noise_level=0.0096)",1.1093983,0.28881266,1.1357018,0.7461943,0.0096001244,-33.375708,0.0083586392,0.0056042351,0.99718515
48,active,49,"SliceKernel(base=RBF(length_scale=[1.14, 0.277]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.07, 0.748]), idx=[2, 3]) + WhiteKernel(noise_level=0.00944)",1.1398964,0.27697503,1.065439,0.748131,0.0094447352,-34.989099,0.0080905808,0.0054228426,0.9973731
49,active,50,"SliceKernel(base=RBF(length_scale=[1.13, 0.282]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.999, 0.749]), idx=[2, 3]) + WhiteKernel(noise_level=0.00948)",1.1284276,0.28167102,0.99924587,0.74914221,0.0094776791,-35.827672,0.0080971308,0.0053687379,0.99739778
50,active,51,"SliceKernel(base=RBF(length_scale=[0.528, 0.716]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.09, 0.737]), idx=[2, 3]) + WhiteKernel(noise_level=0.0182)",0.52793416,0.71592359,1.0937755,0.73656583,0.018179286,-37.12872,0.012234908,0.0087647628,0.99393995
51,active,52,"SliceKernel(base=RBF(length_scale=[0.517, 0.744]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.14, 0.729]), idx=[2, 3]) + WhiteKernel(noise_level=0.0196)",0.51712841,0.74361136,1.137411,0.72922447,0.019565971,-38.286362,0.01268551,0.0090236935,0.99338877
52,active,53,"SliceKernel(base=RBF(length_scale=[0.481, 0.988]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.15, 0.72]), idx=[2, 3]) + WhiteKernel(noise_level=0.0219)",0.4810585,0.98785721,1.1536205,0.71971694,0.021927566,-38.937533,0.013752117,0.010253738,0.99225042
53,active,54,"SliceKernel(base=RBF(length_scale=[0.506, 0.939]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.14, 0.7]), idx=[2, 3]) + WhiteKernel(noise_level=0.0281)",0.50626559,0.9394788,1.1444007,0.69980253,0.028103948,-41.6115,0.015947859,0.012079798,0.9895994
54,active,55,"SliceKernel(base=RBF(length_scale=[0.499, 0.882]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.48, 0.694]), idx=[2, 3]) + WhiteKernel(noise_level=0.0388)",0.4992641,0.8823957,1.4751953,0.6943198,0.038801995,-47.416136,0.019573297,0.015807293,0.98433564
55,active,56,"SliceKernel(base=RBF(length_scale=[0.47, 0.814]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.52, 0.653]), idx=[2, 3]) + WhiteKernel(noise_level=0.0389)",0.47013373,0.81392156,1.5246759,0.65291655,0.038911926,-49.207994,0.018983619,0.015361412,0.98512642
56,active,57,"SliceKernel(base=RBF(length_scale=[0.441, 0.774]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.5, 0.66]), idx=[2, 3]) + WhiteKernel(noise_level=0.0365)",0.44138923,0.7743728,1.4960059,0.66025351,0.036491806,-49.590354,0.018424329,0.015086443,0.98641629
57,active,58,"SliceKernel(base=RBF(length_scale=[0.432, 0.757]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.51, 0.659]), idx=[2, 3]) + WhiteKernel(noise_level=0.035)",0.4317888,0.75663634,1.5120721,0.65862229,0.035024679,-50.133071,0.017920041,0.014509807,0.9871769
58,active,59,"SliceKernel(base=RBF(length_scale=[0.426, 0.697]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.44, 0.565]), idx=[2, 3]) + WhiteKernel(noise_level=0.0386)",0.42576459,0.69687611,1.4418447,0.56469564,0.038629903,-53.940619,0.018040072,0.014073007,0.9867984
59,active,60,"SliceKernel(base=RBF(length_scale=[0.453, 0.754]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.38, 0.574]), idx=[2, 3]) + WhiteKernel(noise_level=0.0452)",0.45268629,0.75415269,1.3790946,0.57414267,0.045151775,-55.021706,0.020149533,0.015984863,0.98327807
60,active,61,"SliceKernel(base=RBF(length_scale=[0.404, 0.669]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.74, 0.569]), idx=[2, 3]) + WhiteKernel(noise_level=0.0451)",0.4041329,0.66924633,1.7387831,0.56888218,0.045127384,-57.399889,0.019503939,0.015024734,0.98407472
61,active,62,"SliceKernel(base=RBF(length_scale=[0.4, 0.678]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.68, 0.592]), idx=[2, 3]) + WhiteKernel(noise_level=0.0436)",0.39998996,0.67826144,1.6760361,0.59190696,0.043597426,-57.518388,0.019257552,0.014996888,0.984682
62,active,63,"SliceKernel(base=RBF(length_scale=[0.386, 0.665]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.59, 0.598]), idx=[2, 3]) + WhiteKernel(noise_level=0.0415)",0.3863309,0.66456802,1.5928788,0.59808646,0.041471338,-57.945675,0.018684624,0.01463871,0.98584953
63,active,64,"SliceKernel(base=RBF(length_scale=[0.386, 0.662]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.62, 0.601]), idx=[2, 3]) + WhiteKernel(noise_level=0.0398)",0.38573036,0.66200783,1.6234859,0.60099361,0.039814819,-58.217284,0.01824065,0.014211572,0.98650384
64,active,65,"SliceKernel(base=RBF(length_scale=[1.27, 0.804]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.63, 0.468]), idx=[2, 3]) + WhiteKernel(noise_level=0.098)",1.2665971,0.80406049,1.6281503,0.46795785,0.097994711,-56.996359,0.036798444,0.028184689,0.94543214
65,active,66,"SliceKernel(base=RBF(length_scale=[1.26, 0.79]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.92, 0.475]), idx=[2, 3]) + WhiteKernel(noise_level=0.0945)",1.2642284,0.79044798,1.9193361,0.47469978,0.094462521,-55.891777,0.037871757,0.029410249,0.94586362
66,active,67,"SliceKernel(base=RBF(length_scale=[1.27, 0.81]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[2.07, 0.477]), idx=[2, 3]) + WhiteKernel(noise_level=0.0966)",1.2714607,0.81030459,2.0739892,0.47675572,0.096637499,-56.627647,0.038448451,0.030124075,0.94354365
67,active,68,"SliceKernel(base=RBF(length_scale=[1.35, 0.412]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.712, 0.573]), idx=[2, 3]) + WhiteKernel(noise_level=0.0411)",1.3468472,0.41168218,0.71221397,0.5732913,0.041086553,-56.693826,0.019920206,0.013826137,0.98498151
68,active,69,"SliceKernel(base=RBF(length_scale=[0.851, 0.244]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.619, 0.717]), idx=[2, 3]) + WhiteKernel(noise_level=0.0152)",0.85089389,0.24423273,0.61913439,0.71720126,0.015227776,-61.109742,0.00930567,0.0065191044,0.99680488
69,active,70,"SliceKernel(base=RBF(length_scale=[0.828, 0.257]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.613, 0.72]), idx=[2, 3]) + WhiteKernel(noise_level=0.0154)",0.82752204,0.25700323,0.61251582,0.71976206,0.015359951,-62.387672,0.0093074139,0.0065633524,0.99677643
70,active,71,"SliceKernel(base=RBF(length_scale=[0.807, 0.261]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.616, 0.712]), idx=[2, 3]) + WhiteKernel(noise_level=0.0145)",0.80660762,0.26071539,0.61645783,0.71181105,0.014545746,-63.535914,0.0088831752,0.0063440697,0.99702227
71,active,72,"SliceKernel(base=RBF(length_scale=[0.92, 0.283]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.596, 0.65]), idx=[2, 3]) + WhiteKernel(noise_level=0.0194)",0.92031724,0.28306504,0.59563098,0.65032102,0.019387285,-64.536526,0.010914795,0.0080686186,0.99555449
72,active,73,"SliceKernel(base=RBF(length_scale=[0.932, 0.294]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.59, 0.641]), idx=[2, 3]) + WhiteKernel(noise_level=0.0188)",0.9322396,0.29364,0.59026151,0.64131542,0.018775056,-63.503243,0.01102521,0.0081534459,0.99563465
73,active,74,"SliceKernel(base=RBF(length_scale=[0.874, 0.275]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.615, 0.646]), idx=[2, 3]) + WhiteKernel(noise_level=0.0188)",0.87370663,0.27519696,0.61496551,0.64645106,0.018761443,-64.722355,0.010857754,0.0081437063,0.99571267
74,active,75,"SliceKernel(base=RBF(length_scale=[0.737, 0.249]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.683, 0.625]), idx=[2, 3]) + WhiteKernel(noise_level=0.0228)",0.737312,0.24918264,0.68300658,0.62541476,0.022802778,-67.786442,0.011827375,0.0088668628,0.99484968
75,active,76,"SliceKernel(base=RBF(length_scale=[1.56, 0.432]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.35, 0.408]), idx=[2, 3]) + WhiteKernel(noise_level=0.0756)",1.5565959,0.4323283,1.3474426,0.40758542,0.075599826,-65.934349,0.031438773,0.023057677,0.96360791
76,active,77,"SliceKernel(base=RBF(length_scale=[1.61, 0.423]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.31, 0.411]), idx=[2, 3]) + WhiteKernel(noise_level=0.074)",1.6146121,0.42344376,1.3076229,0.41092363,0.073951996,-66.640149,0.030929211,0.022830893,0.96459877
77,active,78,"SliceKernel(base=RBF(length_scale=[1.59, 0.459]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.29, 0.401]), idx=[2, 3]) + WhiteKernel(noise_level=0.0851)",1.5892445,0.45946888,1.2925949,0.40057357,0.085148775,-69.19276,0.033839492,0.025635324,0.95758929
78,active,79,"SliceKernel(base=RBF(length_scale=[1.63, 0.461]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.31, 0.399]), idx=[2, 3]) + WhiteKernel(noise_level=0.0833)",1.6311438,0.46050604,1.3114127,0.39871559,0.083279962,-69.040485,0.033790941,0.025617572,0.95822567
79,active,80,"SliceKernel(base=RBF(length_scale=[1.65, 0.461]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.29, 0.399]), idx=[2, 3]) + WhiteKernel(noise_level=0.0819)",1.6483971,0.46136969,1.2874925,0.39898026,0.081899096,-69.4861,0.03334735,0.025101129,0.95896936
80,active,81,"SliceKernel(base=RBF(length_scale=[1.69, 0.471]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[1.19, 0.403]), idx=[2, 3]) + WhiteKernel(noise_level=0.0712)",1.6888673,0.4705475,1.1873315,0.40250013,0.071239881,-66.408462,0.032597212,0.024175056,0.96493258
81,active,82,"SliceKernel(base=RBF(length_scale=[1.44, 0.442]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.827, 0.518]), idx=[2, 3]) + WhiteKernel(noise_level=0.0697)",1.43995,0.44220118,0.82739609,0.51762106,0.069704366,-70.551338,0.032101366,0.024825864,0.96722067
82,active,83,"SliceKernel(base=RBF(length_scale=[1.46, 0.468]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.569, 0.561]), idx=[2, 3]) + WhiteKernel(noise_level=0.0653)",1.4582217,0.46759372,0.56876009,0.56118194,0.065328589,-74.04889,0.02997192,0.023721684,0.97209777
83,active,84,"SliceKernel(base=RBF(length_scale=[1.52, 0.457]), idx=[0, 1]) + SliceKernel(base=RBF(length_scale=[0.569, 0.555]), idx=[2, 3]) + WhiteKernel(noise_level=0.0643)",1.518511,0.45721898,0.56910416,0.55496651,0.064276179,-74.342516,0.029685347,0.023397426,0.97262984
